"itemname","item_count","averagesale","highest","total_gold"
"Band of Ruinous Delight",1,2069.00,2069,2069.00
"Cataclysms Edge",1,1100.00,1100,1100.00
"Sindorei Band of Triumph",1,1069.00,1069,1069.00
"Sunmote",8,112.50,112.5,900.00
"Shady Dealers Pantaloons",1,750.00,750,750.00
"Thalassian Ranger Gauntlets",1,600.00,600,600.00
"FathomHelm of the Deeps",1,500.00,500,500.00
"Sovereign Nightseye",2,16.00,16,32.00
"Inscribed Pyrestone",1,15.00,15,15.00
"Inscribed Noble Topaz",2,5.00,5,10.00
