type,amount,otherPlayer,player,time
Money Transfer,3500000,Onissan,Alfakenybody,1632441815
Money Transfer,4000000,Fantassthicc,Alfakenybody,1632442979
Money Transfer,1000000,Onissan,Alfakenybody,1634776362
Money Transfer,2411559,Alfakenybody,Jarlbalgruf,1635659751
Money Transfer,10000,Jarlbalgruf,Alfakenybody,1635659800
Money Transfer,200000,Anyaaknees,Jarlbalgruf,1635814209
Money Transfer,1430000,Anyaaknees,Jarlbalgruf,1636456805
Money Transfer,106969,Buchø,Jarlbalgruf,1636479523
Money Transfer,7070000,Jarlbalgruf,Onissan,1637121085
Money Transfer,4295500,Fantassthicc,Onissan,1637121141
Money Transfer,4100000,Ynya,Onissan,1653436305
Money Transfer,6200000,Anyaaknees,Onissan,1653436269
Money Transfer,2400000,Fantassthicc,Onissan,1653436243
Money Transfer,7000000,Jarlbalgruf,Onissan,1653436363
Money Transfer,2000000,Onissan,Jarlbalgruf,1653804438
Money Transfer,14000000,Jarlbalgruf,Onissan,1654307457
Money Transfer,21000000,Onissan,Fantassthicc,1655721125
Money Transfer,9000000,Onissan,Fantassthicc,1655870418
Money Transfer,17000000,Jarlbalgruf,Fantassthicc,1655870448
Money Transfer,35000000,Fantassthicc,Onissan,1656031824
Money Transfer,37500000,Onissan,Fantassthicc,1656111114
Money Transfer,32000000,Fantassthicc,Onissan,1657256345
Money Transfer,50000000,Onissan,Fantassthicc,1657272181
Money Transfer,56000000,Fantassthicc,Anyaaknees,1657274275
Money Transfer,80000000,Onissan,Fantassthicc,1657522853
Money Transfer,30000000,Fantassthicc,Onissan,1657837057
Money Transfer,9000000,Jarlbalgruf,Fantassthicc,1657837429
Money Transfer,10000000,Fantassthicc,Onissan,1657841413
Money Transfer,10000000,Fantassthicc,Jarlbalgruf,1657841432
Money Transfer,39000000,Onissan,Fantassthicc,1657862460
Money Transfer,43000000,Fantassthicc,Onissan,1657948559
Money Transfer,35000000,Fantassthicc,Onissan,1658365987
Money Transfer,15000000,Jarlbalgruf,Onissan,1658366843
Money Transfer,20000000,Onissan,Fantassthicc,1658376704
Money Transfer,20000000,Onissan,Fantassthicc,1658441924
Money Transfer,21000000,Jarlbalgruf,Fantassthicc,1658467041
Money Transfer,40000000,Fantassthicc,Onissan,1658541392
Money Transfer,10000000,Fantassthicc,Anyaaknees,1658693055
Money Transfer,24000000,Onissan,Anyaaknees,1658700607
Money Transfer,14000000,Jarlbalgruf,Anyaaknees,1658700641
Money Transfer,5000000,Fantassthicc,Anyaaknees,1658700953
Money Transfer,5000000,Anyaaknees,Jarlbalgruf,1658703099
Money Transfer,6000000,Onissan,Fantassthicc,1658728385
Money Transfer,3500000,Anyaaknees,Fantassthicc,1658728433
Money Transfer,34000000,Jarlbalgruf,Fantassthicc,1658809138
Money Transfer,4000000,Onissan,Fantassthicc,1658982943
Money Transfer,5000000,Jarlbalgruf,Fantassthicc,1658982975
Money Transfer,5000000,Fantassthicc,Onissan,1658983633
Money Transfer,10000000,Onissan,Jarlbalgruf,1659311192
Money Transfer,4500000,Fantassthicc,Jarlbalgruf,1659311935
Money Transfer,1000000,Daegger,Onissan,1659310509
Money Transfer,3000000,Onissan,Jarlbalgruf,1659323706
Money Transfer,8700000,Onissan,Fantassthicc,1659325483
Money Transfer,1000000,Anyaaknees,Fantassthicc,1659325556
Money Transfer,4600000,Fantassthicc,Anyaaknees,1659337015
Money Transfer,5000000,Anyaaknees,Fantassthicc,1659499191
Money Transfer,9000000,Jarlbalgruf,Fantassthicc,1659499239
Money Transfer,16000000,Fantassthicc,Onissan,1659505207
Money Transfer,12500000,Onissan,Anyaaknees,1659513071
Money Transfer,20000000,Jarlbalgruf,Anyaaknees,1659513427
Money Transfer,18000000,Onissan,Fantassthicc,1659762538
Money Transfer,12000000,Anyaaknees,Fantassthicc,1659762572
Money Transfer,4000000,Onissan,Fantassthicc,1660019010
Money Transfer,5000000,Jarlbalgruf,Fantassthicc,1660019210
Money Transfer,10000000,Fantassthicc,Jarlbalgruf,1660089116
Money Transfer,23000000,Fantassthicc,Onissan,1660089123
Money Transfer,23000000,Onissan,Fantassthicc,1660095734
Money Transfer,6500000,Jarlbalgruf,Fantassthicc,1660095958
Money Transfer,33000000,Onissan,Fantassthicc,1660281737
Money Transfer,8000000,Onissan,Fantassthicc,1660454252
Money Transfer,25000000,Jarlbalgruf,Fantassthicc,1660622933
Money Transfer,12500000,Onissan,Fantassthicc,1661059824
Money Transfer,38000000,Jarlbalgruf,Fantassthicc,1661059980
Money Transfer,20000000,Jarlbalgruf,Fantassthicc,1661486314
Money Transfer,15000000,Jarlbalgruf,Fantassthicc,1661664268
Money Transfer,1000000,Fantassthicc,Jarlbalgruf,1661664811
Money Transfer,20000000,Fantassthicc,Jarlbalgruf,1661719293
Money Transfer,1,Fantassthicc,Onissan,1661719309
Money Transfer,39000000,Jarlbalgruf,Fantassthicc,1661751009
Money Transfer,10000000,Fantassthicc,Onissan,1661756111
Money Transfer,3170000,Irisaria,Onissan,1661987287
Money Transfer,3000000,Onissan,Fantassthicc,1662109548
Money Transfer,2000000,Coldstöne,Fantassthicc,1662109598
Money Transfer,2000000,Jarlbalgruf,Fantassthicc,1662109650
Money Transfer,3000000,Fantassthicc,Jarlbalgruf,1662140793
Money Transfer,3000000,Jarlbalgruf,Fantassthicc,1662169203
Money Transfer,12000000,Fantassthicc,Onissan,1662180058
Money Transfer,35000000,Jarlbalgruf,Coldstöne,1662346356
Money Transfer,9000000,Jarlbalgruf,Coldstöne,1662429173
Money Transfer,2000000,Onissan,Coldstöne,1662429262
Money Transfer,1750000,Fantassthicc,Jarlbalgruf,1662707112
Money Transfer,4750000,Onissan,Coldstöne,1662706914
Money Transfer,3000000,Coldstöne,Jarlbalgruf,1662757057
Money Transfer,8000000,Jarlbalgruf,Fantassthicc,1662793390
Money Transfer,1000000,Fantassthicc,Onissan,1662855975
Money Transfer,15000000,Jarlbalgruf,Fantassthicc,1662867671
Money Transfer,13000000,Coldstöne,Fantassthicc,1662873024
Money Transfer,10000000,Fantassthicc,Jarlbalgruf,1663109616
Money Transfer,14000000,Onissan,Coldstöne,1663289455
Money Transfer,21000000,Fantassthicc,Coldstöne,1663289578
Money Transfer,18000000,Coldstöne,Fantassthicc,1663295536
Money Transfer,34000000,Jarlbalgruf,Fantassthicc,1663305184
Money Transfer,20000000,Coldstöne,Jarlbalgruf,1663392274
Money Transfer,20000000,Coldstöne,Onissan,1663471473
Money Transfer,20000000,Onissan,Jarlbalgruf,1663627319
Money Transfer,12000000,Onissan,Coldstöne,1663653050
Money Transfer,5000000,Coldstöne,Jarlbalgruf,1663702579
Money Transfer,11000000,Fantassthicc,Onissan,1663651609
Money Transfer,53500000,Fantassthicc,Coldstöne,1663313601
Money Transfer,6000000,Fantassthicc,Onissan,1662881778
Money Transfer,6500000,Jarlbalgruf,Fantassthicc,1662784621
Money Transfer,3000000,Coldstöne,Jarlbalgruf,1662433641
Money Transfer,3000000,Onissan,Coldstöne,1662346473
Money Transfer,10000000,Onissan,Coldstöne,1662204986
Money Transfer,4000000,Onissan,Coldstöne,1662075034
Money Transfer,8500000,Onissan,Fantassthicc,1661664344
Money Transfer,15000000,Fantassthicc,Jarlbalgruf,1661115051
Money Transfer,10000000,Fantassthicc,Jarlbalgruf,1660842756
Money Transfer,13000000,Jarlbalgruf,Fantassthicc,1660281772
Money Transfer,29500000,Fantassthicc,Onissan,1660101670
Money Transfer,6000000,Jarlbalgruf,Fantassthicc,1659762714
Money Transfer,20000000,Anyaaknees,Jarlbalgruf,1659632432
Money Transfer,5000000,Jarlbalgruf,Anyaaknees,1659337139
Money Transfer,5000000,Onissan,Jarlbalgruf,1659068907
Money Transfer,3800000,Jarlbalgruf,Fantassthicc,1658728470
Money Transfer,34000000,Onissan,Fantassthicc,1658553331
Money Transfer,20000000,Onissan,Jarlbalgruf,1658376679
Money Transfer,10000000,Fantassthicc,Jarlbalgruf,1658187381
Money Transfer,46000000,Onissan,Fantassthicc,1657950004
Money Transfer,1,Edenniamh,Ynya,1657688327
Money Transfer,51000000,Anyaaknees,Onissan,1657344011
Money Transfer,12000000,Jarlbalgruf,Fantassthicc,1657158269
Money Transfer,50000000,Onissan,Fantassthicc,1656569912
Money Transfer,19000000,Onissan,Fantassthicc,1656654156
Money Transfer,23000000,Onissan,Jarlbalgruf,1656186790
Money Transfer,38000000,Fantassthicc,Onissan,1656111310
Money Transfer,10000000,Fantassthicc,Jarlbalgruf,1655726542
Money Transfer,16000000,Onissan,Fantassthicc,1655183719
Money Transfer,1000000,Jarlbalgruf,Fantassthicc,1654974166
Money Transfer,600000,Anyaaknees,Onissan,1654307498
Money Transfer,5000000,Onissan,Jarlbalgruf,1654043292
Money Transfer,500000,Onissan,Jarlbalgruf,1653851260
Money Transfer,20000000,Jarlbalgruf,Onissan,1653520662
Money Transfer,2000000,Onissan,Jarlbalgruf,1653441634
Money Transfer,1,Anyaaknees,Jarlbalgruf,1653100382
Money Transfer,11651165,Onissan,Ynya,1652505892
Money Transfer,1,Jarlinn,Anyaaknees,1648454658
Money Transfer,1,Shertrune,Fantassthicc,1649585154
Money Transfer,1000000,Onissan,Jarlbalgruf,1651361703
Money Transfer,7000000,Anyaaknees,Onissan,1650681461
Money Transfer,5000000,Onissan,Jarlbalgruf,1650850169
Money Transfer,5000000,Onissan,Jarlbalgruf,1650489747
Money Transfer,20000000,Onissan,Jarlbalgruf,1649292240
Money Transfer,10000000,Onissan,Jarlbalgruf,1648013233
Money Transfer,1166800,Ynya,Onissan,1637121219
Money Transfer,100000,Buchito,Onissan,1645114154
Money Transfer,30000000,Jarlbalgruf,Anyaaknees,1638123001
Money Transfer,500000,Jarlbalgruf,Lasagnacheez,1644211566
Money Transfer,800000,Ynya,Anyaaknees,1638123096
Money Transfer,10000000,Onissan,Anyaaknees,1638123153
Money Transfer,2000000,Fantassthicc,Anyaaknees,1638123351
Money Transfer,10700000,Onissan,Jarlbalgruf,1640020529
Money Transfer,6000000,Anyaaknees,Jarlbalgruf,1640020693
Money Transfer,5000,Dooberz,Anyaaknees,1640358268
Money Transfer,5625,Alliance Auction House,Jarlbalgruf,1642208599
Money Transfer,2000000,Jarlbalgruf,Fantassthicc,1642457821
Money Transfer,1000000,Jarlbalgruf,Fantassthicc,1642347132
Money Transfer,5000,Dooberz,Anyaaknees,1641507385
Money Transfer,100000,Stankytank,Onissan,1641268836
Money Transfer,5000,Dooberz,Anyaaknees,1640843343
Money Transfer,1000000,Onissan,Jarlbalgruf,1640578593
Money Transfer,2000200,Fantassthicc,Jarlbalgruf,1640020739
Money Transfer,4400000,Ynya,Jarlbalgruf,1640020595
Money Transfer,2400000,Jarlbalgruf,Anyaaknees,1638123447
Money Transfer,1000000,Jarlbalgruf,Ynya,1638488926
Money Transfer,1,Kasaibhlinn,Ynya,1638787637
Money Transfer,3000000,Onissan,Jarlbalgruf,1638531177
Money Transfer,800000,Jarlbalgruf,Fantassthicc,1638497560
Money Transfer,1700000,Onissan,Jarlbalgruf,1638143575
Money Transfer,50000,Bankerdoobz,Anyaaknees,1637939599
Money Transfer,2750000,Anyaaknees,Onissan,1637121266
Money Transfer,1050000,Onissan,Anyaaknees,1637126162
Money Transfer,10000000,Onissan,Jarlbalgruf,1637127245
Money Transfer,1500000,Onissan,Ynya,1637127310
Money Transfer,8000000,Onissan,Jarlbalgruf,1636896865
Money Transfer,1400000,Anyaaknees,Ynya,1636897914
Money Transfer,1000000,Jarlbalgruf,Anyaaknees,1636755127
Money Transfer,1000000,Anyaaknees,Jarlbalgruf,1636594622
Money Transfer,2000000,Anyaaknees,Ynya,1636510038
Money Transfer,1000000,Anyaaknees,Jarlbalgruf,1636262989
Money Transfer,1000000,Onissan,Jarlbalgruf,1635814301
Money Transfer,1500000,Anyaaknees,Jarlbalgruf,1635897853
Money Transfer,15242,Alfakenybody,Jarlbalgruf,1635703990
Money Transfer,1000000,Fantassthicc,Alfakenybody,1634856689
Money Transfer,1000000,Onissan,Alfakenybody,1635062222
Money Transfer,700000,Onissan,Alfakenybody,1634973961
Money Transfer,1000000,Alfakenybody,Anyaaknees,1634188382
Money Transfer,1000000,Onissan,Alfakenybody,1632445204
Money Transfer,10000000,Onissan,Alfakenybody,1631662055
Money Transfer,9960000,Anyaaknees,Onissan,1624682835
Money Transfer,50000,Zhaän,Onissan,1630020202
Money Transfer,34000000,Alfakenybody,Fantassthicc,1628823033
Money Transfer,9000000,Onissan,Fantassthicc,1628823071
Money Transfer,2000000,Alfakenybody,Fantassthicc,1628823656
Money Transfer,1,Sabderam,Fantassthicc,1626690744
Money Transfer,2000000,Onissan,Alfakenybody,1627515907
Money Transfer,3410000,Onissan,Fantassthicc,1627775228
Money Transfer,2000000,Onissan,Alfakenybody,1627838694
Money Transfer,100000,Onissan,Ynya,1627682972
Money Transfer,2000000,Onissan,Alfakenybody,1627496129
Money Transfer,3000000,Onissan,Alfakenybody,1626834479
Money Transfer,2000000,Fantassthicc,Alfakenybody,1626837556
Money Transfer,2680000,Fantassthicc,Onissan,1624682580
Money Transfer,500000,Alfakenybody,Fantassthicc,1625035405
Money Transfer,996,Anyaaknees,Onissan,1624682482
Money Transfer,9940000,Alfakenybody,Onissan,1624682691
Money Transfer,22460000,Ynya,Onissan,1624682732
